RollRate,Roll,DesRoll
-1.68408,5.1543,4.65437
-1.63574,5.11219,4.63161
-1.58826,5.0713,4.60919
-1.54168,5.03159,4.58709
-1.49604,4.99305,4.5653
-1.4514,4.95565,4.5438
-1.40777,4.91937,4.52257
-1.36519,4.88417,4.50158
-1.3237,4.85004,4.48083
-1.28331,4.81695,4.46031
-1.24407,4.78487,4.43996
-1.20597,4.75376,4.41982
-1.16905,4.72362,4.39982
-1.13332,4.69439,4.37998
-1.09879,4.66606,4.36027
-1.06548,4.63859,4.34068
-1.03339,4.61195,4.32121
-1.00253,4.58611,4.30182
-0.972897,4.56105,4.2825
-0.944501,4.53673,4.26325
-0.917336,4.51312,4.24405
-0.891401,4.49018,4.22491
-0.866689,4.4679,4.20578
-0.843194,4.44623,4.18668
-0.820907,4.42515,4.16759
-0.799818,4.40463,4.1485
-0.779913,4.38463,4.12941
-0.76118,4.36513,4.11029
-0.743601,4.34611,4.09116
-0.72716,4.32752,4.07198
-0.711839,4.30934,4.05277
-0.697617,4.29154,4.03353
-0.684473,4.2741,4.01423
-0.672385,4.25699,3.99487
-0.66133,4.24018,3.97544
-0.651284,4.22364,3.95596
-0.64222,4.20736,3.9364
-0.634113,4.19131,3.91679
-0.626935,4.17545,3.89709
-0.62066,4.15978,3.87731
-0.615258,4.14426,3.85745
-0.610702,4.12888,3.83752
-0.606961,4.11362,3.8175
-0.604006,4.09844,3.7974
-0.601808,4.08334,3.77721
-0.600334,4.0683,3.75695
-0.599554,4.05329,3.73659
-0.599439,4.0383,3.71616
-0.599957,4.02331,3.69564
-0.601078,4.00831,3.67504
-0.60277,3.99329,3.65436
-0.605001,3.97822,3.63361
-0.607742,3.96309,3.61278
-0.610963,3.9479,3.59187
-0.614632,3.93263,3.5709
-0.618719,3.91726,3.54986
-0.623194,3.90179,3.52876
-0.628029,3.88621,3.50759
-0.633194,3.87051,3.48636
-0.63866,3.85468,3.46509
-0.6444,3.83871,3.44376
-0.650386,3.8226,3.42239
-0.656589,3.80635,3.40098
-0.662985,3.78993,3.37952
-0.669546,3.77336,3.35803
-0.676248,3.75662,3.33652
-0.683065,3.73971,3.31498
-0.689974,3.72263,3.29341
-0.696951,3.70538,3.27184
-0.703973,3.68796,3.25026
-0.711017,3.67036,3.22867
-0.718065,3.65259,3.20708
-0.725093,3.63463,3.18549
-0.732083,3.61651,3.16392
-0.739016,3.59821,3.14235
-0.745873,3.57973,3.12081
-0.752637,3.56108,3.09929
-0.759292,3.54227,3.07779
-0.76582,3.52328,3.05635
-0.772207,3.50414,3.03492
-0.77844,3.48483,3.01354
-0.784503,3.46537,2.99222
-0.790386,3.44576,2.97094
-0.796073,3.426,2.94973
-0.801557,3.4061,2.92856
-0.806825,3.38606,2.90748
-0.811868,3.36589,2.88645
-0.816678,3.34559,2.8655
-0.821244,3.32518,2.84464
-0.82556,3.30464,2.82386
-0.82962,3.28401,2.80315
-0.833419,3.26327,2.78253
-0.836949,3.24243,2.76203
-0.840207,3.22151,2.7416
-0.843189,3.2005,2.72128
-0.84589,3.17942,2.70108
-0.848308,3.15827,2.68097
-0.850441,3.13707,2.66098
-0.852289,3.11581,2.6411
-0.853849,3.0945,2.62133
-0.855121,3.07315,2.60169
-0.856106,3.05177,2.58216
-0.856804,3.03037,2.56276
-0.857218,3.00895,2.54348
-0.857347,2.98752,2.52434
-0.857195,2.96609,2.50532
-0.856764,2.94466,2.48643
-0.856057,2.92324,2.46769
-0.855078,2.90184,2.44908
-0.853829,2.88046,2.4306
-0.852317,2.85911,2.41226
-0.850544,2.83781,2.39407
-0.848517,2.81654,2.37601
-0.846238,2.79533,2.35811
-0.843717,2.77417,2.34033
-0.840958,2.75308,2.3227
-0.837965,2.73206,2.30523
-0.834746,2.71111,2.28789
-0.831307,2.69024,2.27069
-0.827656,2.66946,2.25365
-0.823798,2.64876,2.23675
-0.819741,2.62817,2.21999
-0.815492,2.60768,2.20338
-0.811059,2.58729,2.18691
-0.806448,2.56701,2.1706
-0.801667,2.54685,2.15442
-0.796723,2.52681,2.13839
-0.791625,2.50689,2.1225
-0.78638,2.4871,2.10676
-0.780996,2.46744,2.09116
-0.775479,2.44792,2.07571
-0.769838,2.42853,2.06039
-0.764081,2.40928,2.0452
-0.758215,2.39018,2.03018
-0.752248,2.37123,2.01528
-0.746187,2.35242,2.00051
-0.740042,2.33377,1.98587
-0.733817,2.31526,1.97139
-0.727521,2.29692,1.95702
-0.72116,2.27873,1.9428
-0.714743,2.2607,1.9287
-0.708275,2.24283,1.91474
-0.701765,2.22513,1.90089
-0.695219,2.20758,1.88717
-0.688643,2.1902,1.87358
-0.682044,2.17299,1.86012
-0.675428,2.15593,1.84677
-0.668801,2.13905,1.83356
-0.66217,2.12233,1.82043
-0.655539,2.10577,1.80745
-0.648917,2.08939,1.79457
-0.642306,2.07316,1.78181
-0.635713,2.05711,1.76916
-0.629142,2.04121,1.75662
-0.622601,2.02548,1.74418
-0.616092,2.00992,1.73185
-0.60962,1.99452,1.71963
-0.603189,1.97928,1.70752
-0.596804,1.9642,1.69549
-0.590471,1.94928,1.68356
-0.58419,1.93451,1.67175
-0.577967,1.91991,1.66002
-0.571804,1.90546,1.64839
-0.565705,1.89117,1.63686
-0.559673,1.87702,1.62541
-0.55371,1.86303,1.61405
-0.547821,1.84919,1.60278
-0.542005,1.83549,1.5916
-0.536267,1.82194,1.58051
-0.530609,1.80854,1.56948
-0.525031,1.79527,1.55856
-0.519538,1.78215,1.54769
-0.514129,1.76916,1.53692
-0.508805,1.7563,1.52622
-0.503569,1.74358,1.51561
-0.49842,1.73099,1.50506
-0.493362,1.71853,1.49458
-0.488393,1.7062,1.48418
-0.483515,1.69399,1.47385
-0.478728,1.6819,1.46359
-0.47403,1.66993,1.45341
-0.469425,1.65808,1.44327
-0.464912,1.64635,1.43321
-0.460489,1.63472,1.42322
-0.456156,1.62321,1.41329
-0.451914,1.61181,1.40343
-1.53011,1.60051,-8.16998
-2.54594,1.56226,-8.23833
-3.50026,1.49861,-8.30608
-4.39402,1.4111,-8.37278
-5.22821,1.30125,-8.438
-6.00388,1.17055,-8.50129
-6.72215,1.02045,-8.56231
-7.3842,0.852396,-8.62067
-7.99123,0.667792,-8.67606
-8.54452,0.468011,-8.72813
-9.04537,0.254398,-8.77662
-9.49513,0.0282634,-8.82125
-9.89518,-0.209115,-8.8618
-10.2469,-0.456494,-8.89803
-10.5518,-0.712667,-8.92975
-10.8113,-0.976463,-8.95678
-11.0269,-1.24675,-8.97895
-11.2001,-1.52242,-8.99613
-11.3324,-1.80242,-9.00819
-11.4253,-2.08573,-9.01503
-11.4804,-2.37136,-9.01655
-11.4992,-2.65837,-9.01268
-11.4833,-2.94585,-9.00338
